['N', 'S', 'R', 'H', 'L', 'D', 'C', 'P', 'G', 'B'] 2540233467
['T', 'N', 'S', 'R', 'L', 'C', 'F', 'P', 'G', 'W'] 2540176172
['E', 'A', 'O', 'I', 'C', 'U', 'F', 'G', 'W', 'B'] 2540059897
['N', 'S', 'R', 'H', 'L', 'D', 'M', 'G', 'W', 'Y'] 2539993697
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'P', 'G', 'W'] 2539855055
['T', 'N', 'S', 'R', 'L', 'C', 'P', 'G', 'W', 'B'] 2539853159
['T', 'N', 'S', 'R', 'L', 'M', 'F', 'P', 'G', 'W'] 2539372362
['N', 'S', 'R', 'H', 'D', 'C', 'M', 'P', 'W', 'B'] 2539294766
['N', 'S', 'R', 'H', 'L', 'C', 'F', 'P', 'G', 'W'] 2539051580
['N', 'S', 'R', 'H', 'L', 'C', 'M', 'G', 'Y', 'B'] 2539018564
['T', 'N', 'S', 'R', 'L', 'D', 'M', 'F', 'P', 'G'] 2538951992
['E', 'A', 'O', 'I', 'C', 'U', 'M', 'G', 'W', 'Y'] 2538928302
['E', 'A', 'O', 'I', 'F', 'P', 'G', 'W', 'Y', 'B'] 2538165556
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'F', 'P', 'G'] 2538050710
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'F', 'G', 'Y'] 2537999450
['N', 'S', 'R', 'H', 'L', 'C', 'F', 'P', 'Y', 'B'] 2537827866
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'W', 'Y', 'B'] 2537734606
['N', 'S', 'R', 'H', 'L', 'M', 'F', 'G', 'W', 'Y'] 2537594456
['T', 'N', 'S', 'R', 'C', 'M', 'F', 'P', 'W', 'B'] 2537496461
['T', 'N', 'R', 'H', 'L', 'D', 'M', 'F', 'W', 'B'] 2537143338
['E', 'A', 'O', 'I', 'C', 'P', 'G', 'W', 'Y', 'B'] 2536401558
['E', 'A', 'O', 'I', 'C', 'U', 'M', 'P', 'G', 'Y'] 2536308123
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'P', 'Y', 'B'] 2536003523
['E', 'A', 'O', 'I', 'D', 'C', 'U', 'W', 'Y', 'B'] 2535790444
['N', 'S', 'R', 'H', 'C', 'M', 'F', 'P', 'W', 'B'] 2535336391
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'F', 'W', 'Y'] 2535040643
['N', 'S', 'R', 'H', 'L', 'C', 'U', 'F', 'W', 'B'] 2534061000
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'P', 'G', 'B'] 2533180351
['E', 'A', 'O', 'I', 'D', 'C', 'U', 'G', 'W', 'B'] 2532911904
['E', 'A', 'O', 'I', 'D', 'F', 'P', 'G', 'Y', 'B'] 2532187926
['T', 'N', 'S', 'R', 'L', 'C', 'M', 'G', 'Y', 'B'] 2532032030
['T', 'N', 'S', 'R', 'L', 'M', 'P', 'G', 'W', 'B'] 2531915029
['N', 'S', 'R', 'H', 'L', 'C', 'M', 'P', 'G', 'Y'] 2531532567
['E', 'A', 'O', 'I', 'L', 'U', 'P', 'G', 'W', 'Y'] 2531243298
['T', 'N', 'R', 'H', 'L', 'D', 'M', 'F', 'P', 'W'] 2530895627
['T', 'N', 'S', 'R', 'L', 'C', 'F', 'P', 'G', 'B'] 2530890170
['T', 'N', 'S', 'R', 'L', 'C', 'U', 'M', 'P', 'W'] 2530621613
['E', 'A', 'O', 'I', 'D', 'C', 'P', 'G', 'Y', 'B'] 2530432968
['N', 'S', 'R', 'H', 'L', 'D', 'F', 'P', 'W', 'Y'] 2530337319
['T', 'N', 'S', 'R', 'L', 'C', 'U', 'M', 'F', 'B'] 2530068489
['T', 'N', 'R', 'H', 'L', 'D', 'M', 'F', 'P', 'B'] 2529688741
['N', 'S', 'R', 'H', 'L', 'D', 'C', 'U', 'F', 'Y'] 2529518477
['E', 'A', 'O', 'I', 'D', 'C', 'U', 'F', 'W', 'Y'] 2529065687
['N', 'S', 'R', 'H', 'D', 'C', 'M', 'F', 'G', 'B'] 2528850795
['N', 'S', 'R', 'H', 'L', 'C', 'U', 'M', 'G', 'W'] 2528735711
['E', 'A', 'O', 'I', 'D', 'C', 'U', 'F', 'P', 'G'] 2528170840
['N', 'S', 'R', 'H', 'L', 'C', 'U', 'F', 'P', 'W'] 2527916621
['N', 'S', 'R', 'H', 'L', 'C', 'U', 'M', 'P', 'B'] 2527775435
['T', 'N', 'S', 'R', 'L', 'M', 'F', 'W', 'Y', 'B'] 2527603753
['E', 'A', 'O', 'I', 'C', 'U', 'M', 'G', 'Y', 'B'] 2526997452
['T', 'N', 'S', 'R', 'L', 'D', 'M', 'P', 'G', 'B'] 2526947313
['E', 'A', 'O', 'I', 'D', 'C', 'U', 'M', 'G', 'Y'] 2526698826
['N', 'S', 'R', 'H', 'L', 'D', 'F', 'G', 'W', 'B'] 2526444052
['N', 'S', 'R', 'H', 'L', 'M', 'P', 'G', 'W', 'B'] 2525975997
['T', 'N', 'S', 'R', 'L', 'D', 'M', 'W', 'Y', 'B'] 2525932778
['N', 'S', 'R', 'H', 'L', 'M', 'F', 'G', 'Y', 'B'] 2525905536
['N', 'S', 'R', 'H', 'L', 'D', 'M', 'G', 'Y', 'B'] 2525729537
['N', 'S', 'R', 'H', 'L', 'U', 'M', 'F', 'G', 'W'] 2525694841
['T', 'N', 'S', 'R', 'L', 'D', 'F', 'P', 'W', 'B'] 2525481944
['T', 'N', 'S', 'R', 'L', 'D', 'C', 'P', 'W', 'Y'] 2524935291
['N', 'S', 'R', 'H', 'L', 'U', 'M', 'F', 'P', 'B'] 2524891625
['E', 'A', 'O', 'I', 'C', 'F', 'P', 'G', 'Y', 'B'] 2524636893
['T', 'N', 'S', 'R', 'L', 'C', 'M', 'P', 'G', 'Y'] 2524538699
['N', 'S', 'R', 'H', 'L', 'D', 'F', 'W', 'Y', 'B'] 2524467956
['N', 'S', 'R', 'H', 'L', 'D', 'M', 'P', 'G', 'Y'] 2524233668
['T', 'N', 'S', 'R', 'L', 'D', 'M', 'P', 'W', 'Y'] 2524198167
['T', 'N', 'S', 'R', 'L', 'M', 'F', 'P', 'G', 'B'] 2524171406
